player,per,bpm,,,,,,,
Nikola Jokić,31.3,12.1,,,,,,,
Giannis Antetokounmpo,29.2,9,,,,,,,
Stephen Curry,26.3,8.7,,,,,,,
LeBron James,24.2,8.1,,,,,,,
Jimmy Butler,26.5,7.7,,,,rank,Player,PER,
Joel Embiid,30.3,7.5,,,,,,,bpm
Kawhi Leonard,26,7.3,,,,,,,
James Harden,24.5,7.2,,,,,,,
Luka Dončić,25.3,6.8,,,,,,,
Damian Lillard,25.6,6.3,,,,,,,
Zion Williamson,27.1,5.8,,,,,,,
Kyrie Irving,24.4,5.5,,,,,,,
Nikola Vučević,22.9,5.3,,,,,,,
Bam Adebayo,22.7,4.9,,,,,,,
Mike Conley,19.2,4.9,,,,,,,
Rudy Gobert,23.5,4.9,,,,,,,
Chris Paul,21.4,4.6,,,,,,,
Karl-Anthony Towns,23.1,4.5,,,,,,,
Donovan Mitchell,21.3,4.3,,,,,,,
Paul George,20.5,4.2,,,,,,,
Zach LaVine,21.5,4,,,,,,,
CJ McCollum,20.8,3.9,,,,,,,
Jayson Tatum,21.3,3.9,,,,,,,
Julius Randle,19.7,3.8,,,,,,,
Domantas Sabonis,20.6,3.8,,,,,,,
Tobias Harris,20,3.7,,,,,,,
Russell Westbrook,19.5,3.7,,,,,,,
Trae Young,23,3.7,,,,,,,
Joe Ingles,15.9,3.5,,,,,,,
Bradley Beal,22.7,3.4,,,,,,,
Jrue Holiday,20,3.4,,,,,,,
Kyle Anderson,17.2,3.3,,,,,,,
Chris Boucher,21.9,3.3,,,,,,,
Mikal Bridges,16.4,3.3,,,,,,,
Thaddeus Young,20.3,3.3,,,,,,,
DeMar DeRozan,22,3.1,,,,,,,
Michael Porter Jr.,20.6,3.1,,,,,,,
Montrezl Harrell,22.7,3,,,,,,,
Jonas Valančiūnas,24.4,3,,,,,,,
Ben Simmons,18.3,2.9,,,,,,,
Clint Capela,24.3,2.7,,,,,,,
Jaylen Brown,19.9,2.5,,,,,,,
Fred VanVleet,16.8,2.5,,,,,,,
John Collins,20.6,2.3,,,,,,,
Brandon Ingram,19.2,2.2,,,,,,,
Mason Plumlee,18.7,2.2,,,,,,,
Kristaps Porziņģis,21.3,2.2,,,,,,,
Delon Wright,16.3,2.2,,,,,,,
Nicolas Batum,12.9,2.1,,,,,,,
Malcolm Brogdon,17.9,2.1,,,,,,,
Kemba Walker,17.7,2.1,,,,,,,
Jamal Murray,18.3,2,,,,,,,
Danny Green,12.1,1.9,,,,,,,
LaMelo Ball,17.5,1.8,,,,,,,
De'Aaron Fox,20.7,1.8,,,,,,,
Lonzo Ball,15.2,1.7,,,,,,,
Draymond Green,13.3,1.7,,,,,,,
Gordon Hayward,17.6,1.6,,,,,,,
Kyle Lowry,16.5,1.6,,,,,,,
Terry Rozier,17.1,1.6,,,,,,,
Brandon Clarke,17.3,1.5,,,,,,,
Bobby Portis,19.9,1.5,,,,,,,
Jordan Clarkson,17.1,1.4,,,,,,,
Tyrese Haliburton,16.2,1.4,,,,,,,
